lemma,translit,gloss
Κορνήλιος,kor-nay'-lee-os,Cornelius
Κούαρτος,koo'-ar-tos,Quartus
Κρής,krace,"Crete, Cretian"
Κρήσκης,krace'-kace,Crescens
Κρήτη,kray'-tay,Crete
Κρίσπος,kris'-pos,Crispus
Κυρήνη,koo-ray'-nay,Cyrene
Κυρήνιος,koo-ray'-nee-os,Cyrenius
Κυρία,koo-ree'-ah,lady
Κυρηναῖος,koo-ray-nah'-yos,"of Cyrene, Cyrenian"
Κωσάμ,ko-sam',Cosam
Κόρινθος,kor'-in-thos,Corinth
Κύπριος,koo'-pree-os,of Cyprus
Κύπρος,koo'-pros,Cyprus
Κώς,koce,Cos
Λάζαρος,lad'-zar-os,Lazarus
Λάμεχ,lam'-ekh,Lamech
Λίνος,lee'-nos,Linus
Λαοδίκεια,lah-od-ik'-i-ah,Laodicea
Λαοδικεύς,lah-od-ik-yooce',Laodicean
Λασαία,las-ah'-yah,Lasea
Λεββαῖος,leb-bah'-yos,Lebbæus
Λευΐ,lyoo'-ee,Levi
Λευΐς,lyoo-is',Levi
Λευΐτης,lyoo-ee'-tace,Levite
Λευϊτικός,lyoo-it'-ee-kos,Levitical
Λιβερτῖνος,lib-er-tee'-nos,Libertine
Λιβύη,lib-oo'-ay,Libya
Λουκᾶς,loo-kas',"Lucas, Luke"
Λούκιος,loo'-kee-os,Lucius
Λυδία,loo-dee'-ah,Lydia
Λυκία,loo-kee'-ah,Lycia
Λυκαονία,loo-kah-on-ee'-ah,Lycaonia
Λυκαονιστί,loo-kah-on-is-tee',in the speech of Lycaonia
Λυσίας,loo-see'-as,Lysias
Λυσανίας,loo-san-ee'-as,Lysanias
Λωΐς,lo-ece',Lois
Λύδδα,lud'-dah,Lydda
Λύστρα,loos'-trah,Lystra
Λώτ,lote,Lot
Μάλχος,mal'-khos,Malchus
Μάρθα,mar'-thah,Martha
Μάρκος,mar'-kos,"Marcus, Mark"
Μίλητος,mil'-ay-tos,Miletus
Μαάθ,mah-ath',Maath
Μαγδαλά,mag-dal-ah',Magdala
Μαγδαληνή,mag-dal-ay-nay',Magdalene
Μαγώγ,mag-ogue',Magog
Μαδιάν,mad-ee-on',Madian
Μαθουσάλα,math-oo-sal'-ah,Mathusala
