lemma,translit,gloss
κατάσχεσις,kat-as'-khes-is,possession
κατέναντι,kat-en'-an-tee,"before, over against"
κατέρχομαι,kat-er'-khom-ahee,"come (down), depart, descend, go down, land"
κατέχω,kat-ekh'-o,"have, hold (fast), keep (in memory), let, X make toward, possess, retain, seize on, stay, take, withhold"
κατήγορος,kat-ay'-gor-os,accuser
κατήφεια,kat-ay'-fi-ah,heaviness
καταβάλλω,kat-ab-al'-lo,"cast down, lay"
καταβαίνω,kat-ab-ah'-ee-no,"come (get, go, step) down, fall (down)"
καταβαρέω,kat-ab-ar-eh'-o,burden
καταβιβάζω,kat-ab-ib-ad'-zo,bring (thrust) down
καταβολή,kat-ab-ol-ay',"conceive, foundation"
καταβραβεύω,kat-ab-rab-yoo'-o,beguile of reward
καταγγέλλω,kat-ang-gel'-lo,"declare, preach, shew, speak of, teach"
καταγγελεύς,kat-ang-gel-yooce',setter forth
καταγελάω,kat-ag-el-ah'-o,laugh to scorn
καταγινώσκω,kat-ag-in-o'-sko,"blame, condemn"
καταγωνίζομαι,kat-ag-o-nid'-zom-ahee,subdue
καταδέω,kat-ad-eh'-o,bind up
καταδικάζω,kat-ad-ik-ad'-zo,condemn
καταδιώκω,kat-ad-ee-o'-ko,follow after
καταδουλόω,kat-ad-oo-lo'-o,bring into bondage
καταδυναστεύω,kat-ad-oo-nas-tyoo'-o,oppress
καταισχύνω,kat-ahee-skhoo'-no,"confound, dishonour, (be a-, make a-)shame(-d)"
κατακαίω,kat-ak-ah'-ee-o,"burn (up, utterly)"
κατακαλύπτω,kat-ak-al-oop'-to,"cover, hide"
κατακαυχάομαι,kat-ak-ow-khah'-om-ahee,"boast (against), glory, rejoice against"
κατακλάω,kat-ak-lah'-o,break
κατακλίνω,kat-ak-lee'-no,(make) sit down (at meat)
κατακλείω,kat-ak-li'-o,shut up
κατακληροδοτέω,kat-ak-lay-rod-ot-eh'-o,divide by lot
κατακλυσμός,kat-ak-looce-mos',flood
κατακλύζω,kat-ak-lood'-zo,overflow
κατακολουθέω,kat-ak-ol-oo-theh'-o,follow (after)
κατακρίνω,kat-ak-ree'-no,"condemn, damn"
κατακρημνίζω,kat-ak-rame-nid'-zo,cast down headlong
κατακυριεύω,kat-ak-oo-ree-yoo'-o,"exercise dominion over (lordship), be lord over, overcome"
κατακόπτω,kat-ak-op'-to,cut
καταλέγω,kat-al-eg'-o,take into the number
καταλαλέω,kat-al-al-eh'-o,speak against (evil of)
καταλαλία,kat-al-al-ee'-ah,"backbiting, evil speaking"
καταλαμβάνω,kat-al-am-ban'-o,"apprehend, attain, come upon, comprehend, find, obtain, perceive, (over-)take"
καταλείπω,kat-al-i'-po,"forsake, leave, reserve"
καταλιθάζω,kat-al-ith-ad'-zo,stone
καταλλάσσω,kat-al-las'-so,reconcile
καταλλαγή,kat-al-lag-ay',"atonement, reconciliation(-ing)"
καταλύω,kat-al-oo'-o,"destroy, dissolve, be guest, lodge, come to nought, overthrow, throw down"
καταμένω,kat-am-en'-o,abide
καταμανθάνω,kat-am-an-than'-o,consider
καταμαρτυρέω,kat-am-ar-too-reh'-o,witness against
καταμόνας,kat-am-on'-as,alone
κατανάθεμα,kat-an-ath'-em-ah,curse
καταναθεματίζω,kat-an-ath-em-at-id'-zo,curse
καταναλίσκω,kat-an-al-is'-ko,consume
καταναρκάω,kat-an-ar-kah'-o,be burdensome (chargeable)
κατανεύω,kat-an-yoo'-o,beckon
κατανοέω,kat-an-o-eh'-o,"behold, consider, discover, perceive"
καταντάω,kat-an-tah'-o,"attain, come"
κατανύσσω,kat-an-oos'-so,prick
καταξιόω,kat-ax-ee-o'-o,(ac-)count worthy
καταπέτασμα,kat-ap-et'-as-mah,vail
καταπίνω,kat-ap-ee'-no,"devour, drown, swallow (up)"
καταπίπτω,kat-ap-ip'-to,fall (down)
καταπατέω,kat-ap-at-eh'-o,"trample, tread (down, underfoot)"
καταπαύω,kat-ap-ow'-o,"cease, (give) rest(-rain)"
καταπλέω,kat-ap-leh'-o,arrive
καταπονέω,kat-ap-on-eh'-o,"oppress, vex"
καταποντίζω,kat-ap-on-tid'-zo,"drown, sink"
καταράομαι,kat-ar-ah'-om-ahee,curse
καταργέω,kat-arg-eh'-o,"abolish, cease, cumber, deliver, destroy, do away, become (make) of no (none, without) effect, fail, loose, bring (come) to nought, put away (down), vanish away, make void"
καταριθμέω,kat-ar-ith-meh'-o,number with
καταρτίζω,kat-ar-tid'-zo,"fit, frame, mend, (make) perfect(-ly join together), prepare, restore"
καταρτισμός,kat-ar-tis-mos',perfecting
κατασείω,kat-as-i'-o,beckon
κατασκάπτω,kat-as-kap'-to,"dig down, ruin"
κατασκήνωσις,kat-as-kay'-no-sis,nest
κατασκευάζω,kat-ask-yoo-ad'-zo,"build, make, ordain, prepare"
κατασκηνόω,kat-as-kay-no'-o,"lodge, rest"
κατασκιάζω,kat-as-kee-ad'-zo,shadow
κατασκοπέω,kat-as-kop-eh'-o,spy out
κατασοφίζομαι,kat-as-of-id'-zom-ahee,deal subtilly with
καταστέλλω,kat-as-tel'-lo,"appease, quiet"
καταστολή,kat-as-tol-ay',apparel
καταστρέφω,kat-as-tref'-o,overthrow
καταστρηνιάω,kat-as-tray-nee-ah'-o,begin to wax wanton against
καταστροφή,kat-as-trof-ay',"overthrow, subverting"
καταστρώννυμι,kat-as-trone'-noo-mee,overthrow
κατασφάττω,kat-as-fat'-to,slay
κατασφραγίζω,kat-as-frag-id'-zo,seal
κατασύρω,kat-as-oo'-ro,hale
κατατίθημι,kat-at-ith'-ay-mee,"do, lay, shew"
κατατομή,kat-at-om-ay',concision
κατατοξεύω,kat-at-ox-yoo'-o,thrust through
κατατρέχω,kat-at-rekh'-o,run down
καταφέρω,kat-af-er'-o,"fall, give, sink down"
καταφεύγω,kat-af-yoo'-go,flee
καταφθείρω,kat-af-thi'-ro,"to spoil entirely, i"
καταφιλέω,kat-af-ee-leh'-o,kiss
καταφρονέω,kat-af-ron-eh'-o,despise
καταφροντής,kat-af-ron-tace',despiser
καταχέω,kat-akh-eh'-o,pour
καταχθόνιος,kat-akh-thon'-ee-os,under the earth
καταχράομαι,kat-akh-rah'-om-ahee,abuse
καταψύχω,kat-ap-soo'-kho,cool
κατείδωλος,kat-i'-do-los,wholly given to idolatry
κατενώπιον,kat-en-o'-pee-on,"before (the presence of), in the sight of"
κατεξουσιάζω,kat-ex-oo-see-ad'-zo,exercise authority
κατεργάζομαι,kat-er-gad'-zom-ahee,"cause, to (deed), perform, work (out)"
κατεσθίω,kat-es-thee'-o,devour
κατευθύνω,kat-yoo-thoo'-no,"guide, direct"
κατεφίστημι,kat-ef-is'-tay-mee,make insurrection against
κατηγορέω,kat-ay-gor-eh'-o,"accuse, object"
κατηγορία,kat-ay-gor-ee'-ah,accusation (X -ed)
κατηχέω,kat-ay-kheh'-o,"inform, instruct, teach"
κατισχύω,kat-is-khoo'-o,prevail (against)
κατιόω,kat-ee-o'-o,canker
κατοίκησις,kat-oy'-kay-sis,dwelling
κατοικέω,kat-oy-keh'-o,"dwell(-er), inhabitant(-ter)"
κατοικία,kat-oy-kee'-ah,habitation
κατοικητήριον,kat-oy-kay-tay'-ree-on,habitation
κατοπτρίζομαι,kat-op-trid'-zom-ahee,behold as in a glass
κατόρθωμα,kat-or'-tho-mah,very worthy deed
κατώτερος,kat-o'-ter-os,lower
καυματίζω,kow-mat-id'-zo,scorch
καυσόω,kow-so'-o,fervent heat
καυτηριάζω,kow-tay-ree-ad'-zo,sear with a hot iron
καυχάομαι,kow-khah'-om-ahee,"(make) boast, glory, joy, rejoice"
καύσων,kow'-sone,(burning) heat
καύχημα,kow'-khay-mah,"boasting, (whereof) to glory (of), glorying, rejoice(-ing)"
καύχησις,kow'-khay-sis,"boasting, whereof I may glory, glorying, rejoicing"
καῦμα,kow'-mah,heat
καῦσις,kow'-sis,be burned
κείρω,ki'-ro,shear(-er)
κειρία,ki-ree'-ah,graveclothes
κελεύω,kel-yoo'-o,"bid, (at, give) command(-ment)"
κενοδοξία,ken-od-ox-ee'-ah,vain-glory
κενοφωνία,ken-of-o-nee'-ah,vain
κεντυρίων,ken-too-ree'-ohn,centurion
κενόδοξος,ken-od'-ox-os,desirous of vain-glory
κενός,ken-os',"empty, (in) vain"
κενόω,ken-o'-o,"make (of none effect, of no reputation, void), be in vain"
κενῶς,ken-oce',in vain
κεράμιον,ker-am'-ee-on,pitcher
κεράννυμι,ker-an'-noo-mee,"fill, pour out"
κεράτιον,ker-at'-ee-on,husk
κεραία,ker-ah'-yah,tittle
κεραμεύς,ker-am-yooce',potter
κεραμικός,ker-am-ik-os',of a potter
κερδαίνω,ker-dah'-ee-no,"(get) gain, win"
κερματιστής,ker-mat-is-tace',changer of money
κεφάλαιον,kef-al'-ah-yon,sum
κεφαλή,kef-al-ay',head
κεφαλίς,kef-al-is',volume
κεφαλαιόω,kef-al-ahee-o'-o,wound in the head
κεῖμαι,ki'-mahee,"be (appointed, laid up, made, set), lay, lie"
κηπουρός,kay-poo-ros',gardener
κηρίον,kay-ree'-on,(honey-)comb
κηρύσσω,kay-roos'-so,"preacher(-er), proclaim, publish"
κιβωτός,kib-o-tos',ark
κιθάρα,kith-ar'-ah,harp
κιθαρίζω,kith-ar-id'-zo,harp
κιθαρῳδός,kith-ar-o'-dos,harper
κινάμωμον,kin-am'-o-mon,cinnamon
κινέω,kin-eh'-o,"(re-)move(-r), way"
κινδυνεύω,kin-doon-yoo'-o,"be in danger, be (stand) in jeopardy"
κλάδος,klad'-os,branch
κλάσις,klas'-is,breaking
κλάσμα,klas'-mah,"broken, fragment"
κλάω,klah'-o,break
κλέμμα,klem'-mah,theft
κλέος,kleh'-os,glory
κλέπτης,klep'-tace,thief
κλέπτω,klep'-to,steal
κλίβανος,klib'-an-os,oven
κλίμα,klee'-mah,"part, region"
κλίνη,klee'-nay,"bed, table"
κλίνω,klee'-no,"bow (down), be far spent, lay, turn to flight, wear away"
κλαίω,klah'-yo,"bewail, weep"
κλαυθμός,klowth-mos',"wailing, weeping, X wept"
κλείς,klice,key
κλείω,kli'-o,shut (up)
κληρονομέω,klay-ron-om-eh'-o,"be heir, (obtain by) inherit(-ance)"
κληρονομία,klay-ron-om-ee'-ah,inheritance
κληρονόμος,klay-ron-om'-os,heir
κληρόω,klay-ro'-o,obtain an inheritance
κλητός,klay-tos',called
κλινίδιον,klin-id'-ee-on,bed
κλισία,klee-see'-ah,company
κλοπή,klop-ay',theft
κλυδωνίζομαι,kloo-do-nid'-zom-ahee,toss to and fro
κλύδων,kloo'-dohn,"raging, wave"
κλῆμα,kaly'-mah,branch
κλῆρος,klay'-ros,"heritage, inheritance, lot, part"
κλῆσις,klay'-sis,calling
κνήθω,knay'-tho,X itching
κοίμησις,koy'-may-sis,taking of rest
κοίτη,koy'-tay,"bed, chambering, X conceive"
κοδράντης,kod-ran'-tace,farthing
κοιλία,koy-lee'-ah,"belly, womb"
κοιμάω,koy-mah'-o,"(be a-, fall a-, fall on) sleep, be dead"
κοινωνέω,koy-no-neh'-o,"communicate, distribute, be partaker"
κοινωνία,koy-nohn-ee'-ah,"(to) communicate(-ation), communion, (contri-)distribution, fellowship"
κοινωνικός,koy-no-nee-kos',willing to communicate
κοινωνός,koy-no-nos',"companion, X fellowship, partaker, partner"
κοινός,koy-nos',"common, defiled, unclean, unholy"
κοινόω,koy-no'-o,"call common, defile, pollute, unclean"
κοιτών,koy-tone',+ chamberlain
κολάζω,kol-ad'-zo,punish
κολακεία,kol-ak-i'-ah,X flattering
κολαφίζω,kol-af-id'-zo,buffet
κολλάω,kol-lah'-o,"cleave, join (self), keep company"
κολλούριον,kol-loo'-ree-on,eyesalve
κολλυβιστής,kol-loo-bis-tace',(money-)changer
κολοβόω,kol-ob-o'-o,shorten
κολυμβάω,kol-oom-bah'-o,swim
κολυμβήθρα,kol-oom-bay'-thrah,pool
κολωνία,kol-o-nee'-ah,colony
κομάω,kom-ah'-o,have long hair
κομίζω,kom-id'-zo,"bring, receive"
κομψότερον,komp-sot'-er-on,+ began to amend
κονιάω,kon-ee-ah'-o,whiten
κονιορτός,kon-ee-or-tos',dust
κοπάζω,kop-ad'-zo,cease
κοπή,kop-ay',slaughter
κοπετός,kop-et-os',lamentation
κοπιάω,kop-ee-ah'-o,"(bestow) labour, toil, be wearied"
κοπρία,kop-ree'-ah,dung(-hill)
κοράσιον,kor-as'-ee-on,"damsel, maid"
κορέννυμι,kor-en'-noo-mee,"eat enough, full"
κορβᾶν,kor-ban',"Corban, treasury"
κοσμέω,kos-meh'-o,"adorn, garnish, trim"
κοσμικός,kos-mee-kos',worldly
κοσμοκράτωρ,kos-mok-fat'-ore,ruler
κουστωδία,koos-to-dee'-ah,watch
κουφίζω,koo-fid'-zo,lighten
κοῦμι,koo'-mee,cumi
κράββατος,krab'-bat-os,bed
κράζω,krad'-zo,cry (out)
κράσπεδον,kras'-ped-on,"border, hem"
κράτιστος,krat'-is-tos,most excellent (noble)
κράτος,krat'-os,"dominion, might(-ily), power, strength"
κρέας,kreh'-as,flesh
κρίθινος,kree'-thee-nos,barley
κρίμα,kree'-mah,"avenge, condemned, condemnation, damnation, + go to law, judgment"
κρίνον,kree'-non,lily
κρίνω,kree'-no,"avenge, conclude, condemn, damn, decree, determine, esteem, judge, go to (sue at the) law, ordain, call in question, sentence to, think"
κρίσις,kree'-sis,"accusation, condemnation, damnation, judgment"
κραιπάλη,krahee-pal'-ay,surfeiting
κρανίον,kran-ee'-on,"Calvary, skull"
κρατέω,krat-eh'-o,"hold (by, fast), keep, lay hand (hold) on, obtain, retain, take (by)"
κραταιός,krat-ah-yos',mighty
κραταιόω,krat-ah-yo'-o,"be strengthened, be (wax) strong"
κραυγάζω,krow-gad'-zo,cry out
κραυγή,krow-gay',"clamour, cry(-ing)"
κρείττων,krite'-tohn,"best, better"
κρεμάννυμι,krem-an'-noo-mee,hang
κρεῖσσον,krice'-son,better
κρημνός,krame-nos',steep place
κριθή,kree-thay',barley
κριτήριον,kree-tay'-ree-on,"to judge, judgment (seat)"
κριτής,kree-tace',judge
κριτικός,krit-ee-kos',discerner
κρούω,kroo'-o,knock
κρυπτός,kroop-tos',"hid(-den), inward(-ly), secret"
κρυσταλλίζω,kroos-tal-lid'-zo,be clear as crystal
κρυφῆ,kroo-fay',in secret
κρύπτη,kroop-tay',secret
κρύπτω,kroop'-to,"hide (self), keep secret, secret(-ly)"
κρύσταλλος,kroos'-tal-los,crystal
κτάομαι,ktah'-om-ahee,"obtain, possess, provide, purchase"
κτήτωρ,ktay'-tore,possessor
κτίζω,ktid'-zo,"create, Creator, make"
κτίσις,ktis'-is,"building, creation, creature, ordinance"
κτίσμα,ktis'-mah,creature
κτίστης,ktis-tace',Creator
κτῆμα,ktay'-mah,possession
κτῆνος,ktay'-nos,beast
κυβέρνησις,koo-ber'-nay-sis,government
κυβεία,koo-bi'-ah,sleight
κυβερνήτης,koo-ber-nay'-tace,(ship) master
κυκλόθεν,koo-kloth'-en,(round) about
κυκλόω,koo-klo'-o,"compass (about), come (stand) round about"
κυλιόω,koo-lee-o'-o,wallow
κυλλός,kool-los',maimed
κυνάριον,koo-nar'-ee-on,dog
κυριακός,koo-ree-ak-os',Lord's
κυριεύω,ko-ree-yoo'-o,"have dominion over, lord, be lord of, exercise lordship over"
κυριότης,koo-ree-ot'-ace,"dominion, government"
κυρόω,koo-ro'-o,confirm
κωλύω,ko-loo'-o,"forbid, hinder, keep from, let, not suffer, withstand"
κωμόπολις,ko-mop'-ol-is,town
κωφός,ko-fos',"deaf, dumb, speechless"
κόκκινος,kok'-kee-nos,"scarlet (colour, coloured)"
κόκκος,kok'-kos,"corn, grain"
κόλασις,kol'-as-is,"punishment, torment"
κόλπος,kol'-pos,"bosom, creek"
κόμη,kom'-ay,hair
κόπος,kop'-os,"labour, + trouble, weariness"
κόπτω,kop'-to,"cut down, lament, mourn, (be-)wail"
κόραξ,kor'-ax,raven
κόρος,kor'-os,measure
κόσμιος,kos'-mee-os,"of good behaviour, modest"
κόσμος,kos'-mos,"adorning, world"
κόφινος,kof'-ee-nos,basket
κύκλῳ,koo'-klo,round about
κύλισμα,koo'-lis-mah,wallowing
κύμβαλον,koom'-bal-on,cymbal
κύμινον,koo'-min-on,cummin
κύπτω,koop'-to,stoop (down)
κύριος,koo'-ree-os,"God, Lord, master, Sir"
κύων,koo'-ohn,dog
κώμη,ko'-may,"town, village"
κώνωψ,ko'-nopes,gnat
κἀγώ,kag-o',"(and, even, even so, so) I (also, in like wise), both me, me also"
κἀκεῖ,kak-i',"and there, there (thither) also"
κἀκεῖθεν,kak-i'-then,"and afterward (from) (thence), thence also"
κἀκεῖνος,kak-i'-nos,"and him (other, them), even he, him also, them (also), (and) they"
κἄν,kan,"and (also) if (so much as), if but, at the least, though, yet"
κῆνσος,kane'-sos,tribute
κῆπος,kay'-pos,garden
κῆρυξ,kay'-roox,preacher
κῆτος,kay'-tos,whale
κῦμα,koo'-mah,wave
κῶλον,ko'-lon,carcase
κῶμος,ko'-mos,"revelling, rioting"
λάθρα,lath'-rah,"privily, secretly"
λάμπω,lam'-po,"give light, shine"
λάρυγξ,lar'-oongks,throat
λάσχω,las'-kho,burst asunder
λάχανον,lakh'-an-on,herb
λέγω,leg'-o,"ask, bid, boast, call, describe, give out, name, put forth, say(-ing, on), shew, speak, tell, utter"
λέντιον,len'-tee-on,towel
λέπρα,lep'-rah,leprosy
λέων,leh-ohn',lion
λήθη,lay'-thay,+ forget
λίαν,lee'-an,"exceeding, great(-ly), sore, very (+ chiefest)"
λίβανος,lib'-an-os,frankincense
λίθινος,lith-ee'-nos,of stone
λίθος,lee'-thos,"(mill-, stumbling-)stone"
λίμνη,lim'-nay,lake
λίνον,lee'-non,linen
λίτρα,lee'-trah,pound
λίψ,leeps,southwest
λαγχάνω,lang-khan'-o,"his lot be, cast lots, obtain"
λακτίζω,lak-tid'-zo,kick
λαλέω,lal-eh'-o,"preach, say, speak (after), talk, tell, utter"
λαλιά,lal-ee-ah',"saying, speech"
λαμά,lam-ah',lama
λαμβάνω,lam-ban'-o,"accept, + be amazed, assay, attain, bring, X when I call, catch, come on (X unto), + forget, have, hold, obtain, receive (X after), take (away, up)"
λαμπάς,lam-pas',"lamp, light, torch"
λαμπρός,lam-pros',"bright, clear, gay, goodly, gorgeous, white"
λαμπρότης,lam-prot'-ace,brightness
λαμπρῶς,lam-proce',sumptuously
λανθάνω,lan-than'-o,"be hid, be ignorant of, unawares"
λαξευτός,lax-yoo-tos',hewn in stone
λατομέω,lat-om-eh'-o,hew
λατρεία,lat-ri'-ah,(divine) service
λατρεύω,lat-ryoo'-o,"serve, do the service, worship(-per)"
λαός,lah-os',people
λαῖλαψ,lah'-ee-laps,"storm, tempest"
λείπω,li'-po,"be destitute (wanting), lack"
λεγεών,leg-eh-ohn',legion
λειτουργέω,li-toorg-eh'-o,minister
λειτουργία,li-toorg-ee'-ah,"ministration(-try), service"
λειτουργικός,li-toorg-ik-os',ministering
λειτουργός,li-toorg-os',minister(-ed)
λεπίς,lep-is',scale
λεπρός,lep-ros',leper
λεπτόν,lep-ton',mite
λευκαίνω,lyoo-kah'-ee-no,"make white, whiten"
λευκός,lyoo-kos',white
λεῖμμα,lime'-mah,remnant
λεῖος,li'-os,smooth
ληνός,lay-nos',winepress
λιβανωτός,lib-an-o-tos',censer
λιθάζω,lith-ad'-zo,stone
λιθοβολέω,lith-ob-ol-eh'-o,"stone, cast stones"
λιθόστρωτος,lith-os'-tro-tos,Pavement
λικμάω,lik-mah'-o,grind to powder
λιμήν,lee-mane',haven
λιμός,lee-mos',"dearth, famine, hunger"
λιπαρός,lip-ar-os',dainty
λοίδορος,loy'-dor-os,"railer, reviler"
λογία,log-ee'-ah,"collection, gathering"
λογίζομαι,log-id'-zom-ahee,"conclude, (ac-)count (of), + despise, esteem, impute, lay, number, reason, reckon, suppose, think (on)"
λογικός,log-ik-os',"reasonable, of the word"
λογισμός,log-is-mos',"imagination, thought"
λογομαχέω,log-om-akh-eh'-o,strive about words
λογομαχία,log-om-akh-ee'-ah,strife of words
λοιδορέω,loy-dor-eh'-o,revile
λοιδορία,loy-dor-ee'-ah,"railing, reproach(-fully)"
λοιμός,loy'-mos,pestilence(-t)
λοιποί,loy-poy',"other, which remain, remnant, residue, rest"
λοιποῦ,loy-poo',from henceforth
λοιπόν,loy-pon',"besides, finally, furthermore, (from) henceforth, moreover, now, + it remaineth, then"
λουτρόν,loo-tron',washing
λούω,loo'-o,wash
λυμαίνομαι,loo-mah'-ee-nom-ahee,make havock of
λυπέω,loo-peh'-o,"cause grief, grieve, be in heaviness, (be) sorrow(-ful), be (make) sorry"
λυσιτελεῖ,loo-sit-el-i',it is better
λυτρωτής,loo-tro-tace',deliverer
λυτρόω,loo-tro'-o,redeem
λυχνία,lookh-nee'-ah,candlestick
λόγιον,log'-ee-on,oracle
λόγιος,log'-ee-os,eloquent
λόγος,log'-os,"account, cause, communication, X concerning, doctrine, fame, X have to do, intent, matter, mouth, preaching, question, reason, + reckon, remove, say(-ing), shew, X speaker, speech, talk, thing, + none of these things move me, tidings, treatise, utterance, word, work"
λόγχη,long'-khay,spear
λύκος,loo'-kos,wolf
λύπη,loo'-pay,"grief, grievous, + grudgingly, heaviness, sorrow"
λύσις,loo'-sis,to be loosed
λύτρον,loo'-tron,ransom
λύτρωσις,loo'-tro-sis,"+ redeemed, redemption"
λύχνος,lookh'-nos,"candle, light"
λύω,loo'-o,"break (up), destroy, dissolve, (un-)loose, melt, put off"
λῃστής,lace-tace',"robber, thief"
λῆμψις,lape'-sis,receiving
λῆρος,lay'-ros,idle tale
μάγος,mag'-os,"sorcerer, wise man"
μάκελλον,mak'-el-lon,shambles
μάλιστα,mal'-is-tah,"chiefly, most of all, (e-)specially"
μάμμη,mam'-may,grandmother
μάννα,man'-nah,manna
μάρμαρος,mar'-mar-os,marble
μάρτυς,mar'-toos,"martyr, record, witness"
μάστιξ,mas'-tix,"plague, scourging"
μάταιος,mat'-ah-yos,"vain, vanity"
μάτην,mat'-ane,in vain
μάχαιρα,makh'-ahee-rah,sword
μάχη,makh'-ay,"fighting, strive, striving"
μάχομαι,makh'-om-ahee,"fight, strive"
μέ,meh,"I, me, my"
μέγας,meg'-as,"(+ fear) exceedingly, great(-est), high, large, loud, mighty, + (be) sore (afraid), strong, X to years"
μέγεθος,meg'-eth-os,greatness
μέγιστος,meg'-is-tos,exceeding great
μέθη,meth'-ay,drunkenness
μέθυσος,meth'-oo-sos,drunkard
μέλαν,mel'-an,ink
μέλας,mel'-as,black
μέλι,mel'-ee,honey
μέλλω,mel'-lo,"about, after that, be (almost), (that which is, things, + which was for) to come, intend, was to (be), mean, mind, be at the point, (be) ready, + return, shall (begin), (which, that) should (after, afterwards, hereafter) tarry, which was for, will, would, be yet"
μέλος,mel'-os,member
μέλω,mel'-o,(take) care
μέμφομαι,mem'-fom-ahee,find fault
μέν,men,"even, indeed, so, some, truly, verily"
μέντοι,men'-toy,"also, but, howbeit, nevertheless, yet"
μένω,men'-o,"abide, continue, dwell, endure, be present, remain, stand, tarry (for), X thine own"
μέριμνα,mer'-im-nah,care
μέρος,mer'-os,"behalf, course, coast, craft, particular (+ -ly), part (+ -ly), piece, portion, respect, side, some sort(-what)"
μέσος,mes'-os,"among, X before them, between, + forth, mid(-day, -night), midst, way"
μέτοχος,met'-okh-os,"fellow, partaker, partner"
μέτρον,met'-ron,measure
μέτωπον,met'-o-pon,forehead
μέχρι,mekh'-ree,"till, (un-)to, until"
μή,may,"any but (that), X forbear, + God forbid, + lack, lest, neither, never, no (X wise in), none, nor, (can-)not, nothing, that not, un(-taken), without"
μήν,mane,month
μήποτε,may'-pot-eh,"if peradventure, lest (at any time, haply), not at all, whether or not"
μήπω,may'-po,not yet
μήπως,may'-pos,"lest (by any means, by some means, haply, perhaps)"
μήτε,may'-teh,"neither, (n-)or, so as much"
μήτηρ,may'-tare,mother
μήτι,may'-tee,"not (the particle usually not expressed, except by the form of the question)"
μήτιγε,may'-tig-eh,how much more
μήτις,may'-tis,any (sometimes unexpressed except by the simple interrogative form of the sentence)
μήτρα,may'-trah,womb
μία,mee'-ah,"a (certain), + agree, first, one, X other"
μίασμα,mee'-as-mah,pollution
μίγμα,mig'-mah,mixture
μίγνυμι,mig'-noo-mee,mingle
μίλιον,mil'-ee-on,mile
μίσθιος,mis'-thee-os,hired servant
μίσθωμα,mis'-tho-mah,hired house
μαίνομαι,mah'-ee-nom-ahee,be beside self (mad)
μαγεία,mag-i'-ah,sorcery
μαγεύω,mag-yoo'-o,use sorcery
μαθήτρια,math-ay'-tree-ah,disciple
μαθητής,math-ay-tes',disciple
μαθητεύω,math-ayt-yoo'-o,"be disciple, instruct, teach"
μακάριος,mak-ar'-ee-os,"blessed, happy(X -ier)"
μακαρίζω,mak-ar-id'-zo,"call blessed, count happy"
μακαρισμός,mak-ar-is-mos',blessedness
μακράν,mak-ran',"(a-)far (off), good (great) way off"
μακροθυμέω,mak-roth-oo-meh'-o,"bear (suffer) long, be longsuffering, have (long) patience, be patient, patiently endure"
μακροθυμία,mak-roth-oo-mee'-ah,"longsuffering, patience"
μακροθυμώς,mak-roth-oo-moce',patiently
μακροχρόνιος,mak-rokh-ron'-ee-os,live long
μακρόθεν,mak-roth'-en,"afar off, from far"
μακρός,mak-ros',"far, long"
μαλακία,mal-ak-ee'-ah,disease
μαλακός,mal-ak-os',"effeminate, soft"
μαμμωνᾶς,mam-mo-nas',mammon
μανία,man-ee'-ah,(+ make) X mad
μανθάνω,man-than'-o,"learn, understand"
μαντεύομαι,mant-yoo'-om-ahee,by soothsaying
μαραίνω,mar-ah'-ee-no,fade away
μαργαρίτης,mar-gar-ee'-tace,pearl
μαρτυρέω,mar-too-reh'-o,"charge, give (evidence), bear record, have (obtain, of) good (honest) report, be well reported of, testify, give (have) testimony, (be, bear, give, obtain) witness"
μαρτυρία,mar-too-ree'-ah,"record, report, testimony, witness"
μαρτύριον,mar-too'-ree-on,"to be testified, testimony, witness"
μαρτύρομαι,mar-too'-rom-ahee,"take to record, testify"
μαρὰν ἀθά,mar'-an ath'-ah,Maran-atha
μασσάομαι,mas-sah'-om-ahee,gnaw
μαστίζω,mas-tid'-zo,scourge
μαστιγόω,mas-tig-o'-o,scourge
μαστός,mas-tos',pap
ματαιολογία,mat-ah-yol-og-ee'-ah,vain jangling
ματαιολόγος,mat-ah-yol-og'-os,vain talker
ματαιότης,mat-ah-yot'-ace,vanity
ματαιόω,mat-ah-yo'-o,become vain
μείζων,mide'-zone,"elder, greater(-est), more"
μεγάλως,meg-al'-oce,greatly
μεγαλαυχέω,meg-al-ow-kheh'-o,boast great things
μεγαλειότης,meg-al-i-ot'-ace,"magnificence, majesty, mighty power"
μεγαλεῖος,meg-al-i'-os,"great things, wonderful works"
μεγαλοπρεπής,meg-al-op-rep-ace',excellent
μεγαλωσύνη,meg-al-o-soo'-nay,majesty
μεγαλύνω,meg-al-oo'-no,"enlarge, magnify, shew great"
μεγιστᾶνες,meg-is-tan'-es,"great men, lords"
μεθίστημι,meth-is'-tay-mee,"put out, remove, translate, turn away"
μεθερμηνεύω,meth-er-mane-yoo'-o,(by) interpret(-ation)
μεθοδεία,meth-od-i'-ah,"wile, lie in wait"
μεθόριος,meth-or'-ee-os,border
μεθύσκω,meth-oos'-ko,be drunk(-en)
μεθύω,meth-oo'-o,"drink well, make (be) drunk(-en)"
μειζότερος,mide-zot'-er-os,greater
μελίσσιος,mel-is'-see-os,honeycomb
μελετάω,mel-et-ah'-o,"imagine, (pre-)meditate"
μεμβράνα,mem-bran'-ah,parchment
μεμψίμοιρος,mem-psim'-oy-ros,complainer
