strong,lemma,translit,gloss
H108,אֵד,ade,"mist, vapor"
H109,אָדַב,aw-dab',grieve
H110,אַדְבְּאֵל,ad-beh-ale',Adbeel
H111,אֲדַד,ad-ad',Hadad
H112,אּדּוֹ,id-do,Iddo
H113,אָדוֹן,aw-done',"lord, master, owner"
H114,אַדּוֹן,ad-done',Addon
H115,אֲדוֹרַ֫יִם,ad-o-rah'-yim,Adoraim
H116,NONE,ed-ah'-yin,"now, that time, then"
H117,אַדִּיר,ad-deer',"excellent, famous, gallant, glorious, goodly, lordly, mighty(- ier one), noble, principal, worthy"
H118,אֲדַלְיָא,ad-al-yaw',Adalia
H119,אָדַם,aw-dam',"be (dyed, made) red (ruddy)"
H120,אָדָם,aw-dawm',"X another, + hypocrite, + common sort, X low, man (mean, of low degree), person"
H121,אָדָם,aw-dawm',Adam
H122,אָדֹם,aw-dome',"red, ruddy"
H123,אֱדוֹם,ed-ome',"Edom, Edomites, Idumea"
H124,אֹ֫דֶם,o'-dem,sardius
H125,אֲדַמְדָּם,ad-am-dawm',(somewhat) reddish
H126,אַדְמָה,ad-maw',Admah
H127,אֲדָמָה,ad-aw-maw',"country, earth, ground, husband(-man) (-ry), land"
H128,אֲדָמָה,ad-aw-maw',Adamah
H129,אֲדָמִי,ad-aw-mee',Adami
H130,אֲדֹמִי,ed-o-mee',Edomite
H131,אֲדֻמִּים,ad-oom-meem',Adummim
H132,אַדְמוֹנִי,ad-mo-nee',"red, ruddy"
H133,אַדְמָ֫תָא,ad-maw-thaw',Admatha
H134,אָ֫דֶן,eh'-den,"foundation, socket"
H135,אַדָּן,ad-dawn',Addan
H136,אֲדֹנָי,ad-o-noy',(my) Lord
H137,אֲדֹנִי־בֶּ֫זֶק,ad-o''-nee-beh'-zek,Adoni-bezek
H138,אֲדֹנִיָּה,ad-o-nee-yaw',Adonijah
H139,אֲדֹנִי־צֶ֫דֶק,ad-o''-nee-tseh'-dek,Adonizedec
H140,אֲדֹנִיקָם,ad-o-nee-kawm',Adonikam
H141,אֲדֹנִירָם,ad-o-nee-rawm',Adoniram
H142,אָדַר,aw-dar',"(become) glorious, honourable"
H143,אֲדָר,ad-awr',Adar
H144,אֲדָר,ad-awr',Adar
H145,אֶ֫דֶר,eh'-der,"goodly, robe"
H146,אַדָּר,ad-dawr',Addar
H147,אּדְּרֵי,id-dar',threshingfloor
H148,אֲדַרְגָּזְרַיָּא,ad-ar''-gaw-zare',judge
H149,אַדְרַזְדָּא,ad-raz-daw',diligently
H150,אֲדַרְכֹּנִים,ad-ar-kone',dram
H151,אֲדֹרָם,ad-o-rawm',Adoram
H152,אַדְרַמֶּ֫לֶך,ad-ram-meh'-lek,Adrammelech
H153,אֶדְרָע,ed-raw',force
H154,אֶדְרֶ֫עִי,ed-reh'-ee,Edrei
H155,אַדָּ֫רֶת,ad-deh'-reth,"garment, glory, goodly, mantle, robe"
H156,אָדַשׁ,aw-dash',thresh
H157,אָהַב,aw-hab',"(be-)love(-d, -ly, -r), like, friend"
H158,אֲהָבִים,ah'-hab,love(-r)
