strong,lemma,translit,gloss
H1444,גֶּ֫דֶר,gheh'-der,wall
H1445,גֶּ֫דֶר,gheh'-der,Geder
H1446,גְּדוֹר,ghed-ore',Gedor
H1447,גָּדֵר,gaw-dare',"fence, hedge, wall"
H1448,גְּדֵרָה,ghed-ay-raw',"(sheep-) cote (fold) hedge, wall"
H1449,גְּדֵרָה,ghed-ay-raw',"Gederah, hedges"
H1450,גְּדֵרוֹת,ghed-ay-rohth',Gederoth
H1451,גְּדֵרִי,ghed-ay-ree',Gederite
H1452,גְּדֵרָתִי,ghed-ay-raw-thee',Gederathite
H1453,גְּדֵרֹתָ֫יִם,ghed-ay-ro-thah'-yim,Gederothaim
H1454,גֵּה,gay,this
H1455,גָּהָה,gaw-haw',cure
H1456,גֵּהָה,gay-haw',medicine
H1457,גָּהַר,gaw-har',"cast self down, stretch self"
H1458,גַּו,gav,back
H1459,גַּו,gav,"midst, same, there- (where-) in"
H1460,גֵּו,gave,"+ among, back, body"
H1461,גּוּב,goob,husbandman
H1462,גֹּבַי,gobe,"grasshopper, X great"
H1463,גּוֹג,gohg,Gog
H1464,גּוּד,goode,"invade, overcome"
H1465,גֵּוָה,gay-vaw',body
H1466,גֵּוָה,gay-vaw',"lifting up, pride"
H1467,גֵּוָה,gay-vaw',pride
H1468,גּוּז,gooz,"bring, cut off"
H1469,גּוֹזָל,go-zawl',young (pigeon)
H1470,גּוֹזָן,go-zawn',Gozan
H1471,גּוֹי,go'-ee,"Gentile, heathen, nation, people"
H1472,גְּוִיָּה,ghev-ee-yaw',"(dead) body, carcase, corpse"
H1473,גּוֹלָה,go-law',"(carried away), captive(-ity), removing"
H1474,גּוֹלָן,go-lawn',Golan
H1475,גּוּמָּץ,goom-mawts',pit
H1476,גּוּנִי,goo-nee',Guni
H1477,גּוּנִי,goo-nee',Gunites
H1478,גָּוַע,gaw-vah',"die, be dead, give up the ghost, perish"
H1479,גּוּף,goof,shut
H1480,גּוּפַת,goo-faw',body
H1481,גּוּר,goor,"abide, assemble, be afraid, dwell, fear, gather (together), inhabitant, remain, sojourn, stand in awe, (be) stranger, X surely"
H1482,גּוּר,goor,"whelp, young one"
H1483,גּוּר,goor,Gur
H1484,גּוֹרֵי,gore,whelp
H1485,גּוּר־בָּ֫עַל,goor-bah'-al,Gur-baal
H1486,גּוֹרָל,go-rawl',lot
H1487,גִּישׁ,goosh,clod
H1488,גֵּז,gaze,"fleece, mowing, mown grass"
H1489,גִּזְבָּר,ghiz-bawr',treasurer
H1490,גִּזַּבְרַיָּא,ghiz-bawr',treasurer
H1491,גָּזָה,gaw-zaw',take
H1492,גִּזָּה,gaz-zaw',fleece
H1493,גִּזוֹנִי,ghee-zo-nee',Gizonite
H1494,גָּזַז,gaw-zaz',"cut off (down), poll, shave, ((sheep-)) shear(-er)"
H1495,גָּזֵז,gaw-zaze',Gazez
H1496,גָּזִית,gaw-zeeth',"hewed, hewn stone, wrought"
H1497,גָּזַל,gaw-zal',"catch, consume, exercise (robbery), pluck (off), rob, spoil, take away (by force, violence), tear"
H1498,גָּזֵל,gaw-zale',"robbery, thing taken away by violence"
H1499,גֵּ֫זֶל,ghe'-zel,"violence, violent perverting"
H1500,גְּזֵלָה,ghez-ay-law',"-that (he had robbed) (which he took violently away), spoil, violence"
H1501,גָּזָם,gaw-zawm',palmer-worm
H1502,גַּזָּם,gaz-zawm',"Gazzam, one of the Nethinim:--Gazzam"
H1503,גֶּ֫זַע,geh'-zah,"stem, stock"
H1504,גָּזַר,gaw-zar',"cut down (off), decree, divide, snatch"
H1505,גְּזַר,ghez-ar',"cut out, soothsayer"
H1506,גְּזָרִים,gheh'-zer,"part, piece"
H1507,גָּ֫זֶר,gheh'-zer,"Gazer, Gezer"
H1508,גִּזְרָה,ghiz-raw',"polishing, separate place"
H1509,גְּזֵרָה,ghez-ay-raw',not inhabited
H1510,גְּזֵרַת,ghez-ay-raw',decree
H1511,גִּרְזִי,ghiz-ree',Gezrites
H1512,גָּחוֹן,gaw-khone',belly
H1513,גֶּחָלִים,geh'-khel,(burning) coal
H1514,גַּ֫חַם,gah'-kham,Gaham
H1515,גָּ֫חַר,gah'-khar,Gahar
H1516,גָּיְא,gah'-ee,valley
H1517,גִּיד,gheed,sinew
H1518,גִּ֫יחַ,ghee'-akh,"break forth, labor to bring forth, come forth, draw up, take out"
H1519,גִּ֫יחַ,ghee'-akh,strive
H1520,גִּ֫יחַ,ghee'-akh,Giah
H1521,גִּיחוֹן,ghee-khone',Gihon
H1522,גֵּיחֲזִי,gay-khah-zee',Gehazi
H1523,גִּיל,gheel,"be glad, joy, be joyful, rejoice"
H1524,גִּיל,gheel,"X exceedingly, gladness, X greatly, joy, rejoice(-ing), sort"
H1525,גִּילָה,ghee-law',"joy, rejoicing"
H1526,גִּילֹנִי,ghee-lo-nee',Gilonite
H1527,גִּינַת,ghee-nath',Ginath
H1528,גִּירָא,gheer,plaster
H1529,גֵּישָׁן,gay-shawn',Geshan
H1530,גָּל,gal,"billow, heap, spring, wave"
H1531,גֹּל,gole,bowl
H1532,גַּלָּבִים,gal-lawb',barber
H1533,גִּלְבֹּ֫עַ,ghil-bo'-ah,Gilboa
H1534,גַּלְגַּל,gal-gal',"heaven, rolling thing, wheel"
H1535,גַּלְגַּל,gal-gal',wheel
H1536,גִּלְגַּל,ghil-gawl',wheel
H1537,הַגִּלְגָּל,ghil-gawl',Gilgal
H1538,גֻּלְגֹּ֫לֶת,gul-go'-leth,"head, every man, poll, skull"
H1539,גֶּ֫לֶד,ghe'-led,skin
H1540,גָּלָה,gaw-law',"+ advertise, appear, bewray, bring, (carry, lead, go) captive (into captivity), depart, disclose, discover, exile, be gone, open, X plainly, publish, remove, reveal, X shamelessly, shew, X surely, tell, uncover"
H1541,גְּלָא,ghel-aw',"bring over, carry away, reveal"
H1542,גִּלֹה,ghee-lo',Giloh
H1543,גֻּלָּה,gool-law',"bowl, pommel, spring"
H1544,גִּלּוּלִים,ghil-lool',idol
H1545,גְּלוֹמֵי,ghel-ome',clothes
H1546,גָּלוּת,gaw-looth',(they that are carried away) captives(-ity)
H1547,גָּלוּתָא,gaw-looth',captivity
H1548,גָּלַח,gaw-lakh',"poll, shave (off)"
H1549,גִּלָּיוֹן,ghil-law-yone',"glass, roll"
H1550,גְּלִילִים,gaw-leel',"folding, ring"
H1551,גָּלִיל,gaw-leel',Galilee
H1552,גְּלִילָה,ghel-ee-law',"border, coast, country"
H1553,גְּלִילוֹת,ghel-ee-lowth',Geliloth
H1554,גַּלִּים,gal-leem',Gallim
H1555,גָּלְיָת,gol-yath',Goliath
H1556,גָּלַל,gaw-lal',"commit, remove, roll (away, down, together), run down, seek occasion, trust, wallow"
H1557,גָּלָל,gaw-lawl',dung
H1558,גָּלָל,gaw-lawl',"because of, for (sake)"
H1559,גָּלָל,gaw-lawl',Galal
H1560,גְּלָל,ghel-awl',great
H1561,גֵּ֫לֶל,gay'-lel,dung
H1562,גִּלֲלַי,ghe-lal-ah'-ee,Gilalai
H1563,גָּלַם,gaw-lam',wrap together
H1564,גֹּ֫לֶם,go'-lem,substance yet being unperfect
H1565,גַּלְמוּד,gal-mood',"desolate, solitary"
H1566,גָּלַע,gaw-lah',(inter-)meddle (with)
H1567,גַּלְעֵד,gal-ade',Galeed
H1568,גִּלְעָד,ghil-awd',"Gilead, Gileadite"
H1569,גִּלְעָדִי,ghil-aw-dee',Gileadite
H1570,גָּלַשׁ,gaw-lash',appear
H1571,גַּם,gam,"again, alike, also, (so much) as (soon), both (so)"
H1572,גָּמָא,gaw-maw',"swallow, drink"
H1573,גֹּ֫מֶא,go'-meh,(bul-)rush
H1574,גֹּ֫מֶד,go'-med,cubit
H1575,גַּמָּדִים,gam-mawd',Gammadims
H1576,גְּמוּל,ghem-ool',"+ as hast served, benefit, desert, deserving, that which he hath given, recompense, reward"
H1577,גָּמוּל,gaw-mool',Gamul
H1578,גְּמוּלָה,ghem-oo-law',"deed, recompense, such a reward"
H1579,גִּמְזוֹ,ghim-zo',Gimzo
H1580,גָּמַל,gaw-mal',"bestow on, deal bountifully, do (good), recompense, requite, reward, ripen, + serve, mean, yield"
H1581,גָּמָל,gaw-mawl',camel
H1582,גְּמַלִּי,ghem-al-lee',Gemalli
H1583,גַּמְלִיאֵל,gam-lee-ale',Gamaliel
H1584,גָּמַר,gaw-mar',"cease, come to an end, fail, perfect, perform"
H1585,גְּמַר,ghem-ar',perfect
H1586,גֹּ֫מֶר,go'-mer,Gomer
H1587,גְּמַרְיָה,ghem-ar-yaw',Gemariah
H1588,גָּן,gan,garden
H1589,גָּנַב,gaw-nab',"carry away, X indeed, secretly bring, steal (away), get by stealth"
H1590,גַּנָּב,gaw-nab',thief
H1591,גְּנֵבָה,ghen-ay-baw',theft
H1592,גְּנֻבַת,ghen-oo-bath',Genubath
H1593,גַּנָּה,gan-naw',garden
H1594,גִּנַּת,ghin-naw',garden
H1595,גִּנְזֵי,gheh'-nez,"chest, treasury"
H1596,גִּנְזֵי,ghen-az',treasure
H1597,גַּנְזַכַּי,ghin-zak',treasury
H1598,גָּנַן,gaw-nan',defend
H1599,גִּנְּתוֹן,ghin-neth-one,"Ginnetho, Ginnethon"
H1600,גָּעָה,gaw-aw',low
H1601,גֹּעָ֫תָה,go-aw',Goath
H1602,גָּעַל,gaw-al',"abhor, fail, lothe, vilely cast away"
H1603,גַּ֫עַל,gah'-al,Gaal
H1604,גֹּ֫עַל,go'-al,loathing
H1605,גָּעַר,gaw-ar',"corrupt, rebuke, reprove"
H1606,גְּעָרָה,gheh-aw-raw',"rebuke(-ing), reproof"
H1607,גָּעַשׁ,gaw-ash',"move, shake, toss, trouble"
H1608,גָּ֫עַשׁ,ga'-ash,Gaash
H1609,גַּעְתָּם,gah-tawm',Gatam
H1610,גַּף,gaf,"+ highest places, himself"
H1611,גַּפִּין,gaf,wing
H1612,גָּ֫פֶן,gheh'-fen,"vine, tree"
H1613,גֹּ֫פֶר,go'-fer,gopher
H1614,גָּפְרִית,gof-reeth',brimstone
H1615,גִּר,gheer,chalk(-stone)
H1616,גֵּר,gare,"alien, sojourner, stranger"
H1617,גֵּרָא,gay-raw',Gera
H1618,גָּרָב,gaw-rawb',"scab, scurvy"
H1619,גָּרֵב,gaw-rabe',Gareb
H1620,גַּרְגְּרִים,gar-gar',berry
H1621,גַּרְגְּרוֹת,gar-gher-owth',neck
H1622,גִּרְגָּשִׁי,ghir-gaw-shee',"Girgashite, Girgasite"
H1623,גָּרַד,gaw-rad',scrape
H1624,גָּרָה,gaw-raw',"contend, meddle, stir up, strive"
H1625,גֵּרָה,gay-raw',cud
H1626,גֵּרָה,gay-raw',gerah
H1627,גָּרוֹן,gaw-rone',"X aloud, mouth, neck, throat"
H1628,גֵּרוּת,gay-rooth',habitation
H1629,גָּרַז,gaw-raz',cut off
H1630,גְּרִזִים,gher-ee-zeem',Gerizim
H1631,גַּרְזֶן,gar-zen',ax
H1632,גְּרָל־,gaw-role',man of great (as in the margin which reads gadowl)
H1633,גָּרַם,gaw-ram',"gnaw the bones, break"
H1634,גָּ֫רֶם,gheh'-rem,"bone, strong, top"
H1635,גַּרְמֵי,gheh'-rem,bone
H1636,גַּרְמִי,gar-mee',Garmite
H1637,גֹּ֫רֶן,go'-ren,"(barn, corn, threshing-)floor, (threshing-, void) place"
H1638,גָּרַס,gaw-ras',break
H1639,גָּרַע,gaw-rah',"abate, clip, (di-)minish, do (take) away, keep back, restrain, make small, withdraw"
H1640,גָּרַף,gaw-raf',sweep away
H1641,גָּרַר,gaw-rar',"catch, chew, X continuing, destroy, saw"
H1642,גְּרָר,gher-awr',Gerar
H1643,גֶּ֫רֶשׂ,gheh'-res,beaten corn
H1644,גָּרַשׁ,gaw-rash',"cast up (out), divorced (woman), drive away (forth, out), expel, X surely put away, trouble, thrust out"
H1645,גֶּ֫רֶשׁ,gheh'-resh,put forth
H1646,גְּרֻשֹׁת,gher-oo-shaw',exaction
H1647,גֵּרְשֹׁם,gay-resh-ome',Gershom
H1648,גֵּרְשׁוֹן,gay-resh-one',"Gershon, Gershom"
H1649,גֵּרְשֻׁנִּי,gay-resh-oon-nee',"Gershonite, sons of Gershon"
H1650,גְּשׁוּר,ghesh-oor',"Geshur, Geshurite"
H1651,גְּשׁוּרִי,ghe-shoo-ree',"Geshuri, Geshurites"
H1652,גָּשַׁם,gaw-sham',(cause to) rain
H1653,גֶּ֫שֶׁם,gheh'-shem,"rain, shower"
H1654,גֶּ֫שֶׁם,gheh'-shem,"Geshem, Gashmu"
H1655,גִּשְׁמָא,gheh'-shem,body
H1656,גֻּשְׁמָהּ,go'-shem,rained upon
H1657,גֹּ֫שֶׁן,go'-shen,Goshen
H1658,גִּשְׁפָּא,ghish-paw',Gispa
H1659,גָּשַׁשׁ,gaw-shash',grope
H1660,גַּת,gath,(wine-)press (fat)
H1661,גַּת,gath,Gath
H1662,גַּת־הַחֵ֫פֶר,gath-hah-khay'-fer,"Gath-kephr, Gittah-kephr"
H1663,גִּתִּי,ghit-tee',Gittite
H1664,גִּתָּ֫יִם,ghit-tah'-yim,Gittaim
H1665,גִּתִּית,ghit-teeth',Gittith
H1666,גֶּ֫תֶר,gheh'-ther,Gether
H1667,גַּת־רִמּוֹן,gath-rim-mone',Gath-rimmon
H1668,דָּא,daw,one
H1669,דָּאַב,daw-ab',"mourn, sorrow(-ful)"
H1670,דְּאָבָה,deh-aw-baw',sorrow
H1671,דַּאֲבוֹן,deh-aw-bone',sorrow
H1672,דָּאַג,daw-ag',"be afraid (careful, sorry), sorrow, take thought"
H1673,דּוֹיֵג,do-ayg',Doeg
H1674,דְּאָגָה,deh-aw-gaw',"care(-fulness), fear, heaviness, sorrow"
H1675,דָּאַו,daw-aw',fly
H1676,דָּאָה,daw-aw',vulture
H1677,דֹּב,dobe,bear
H1678,דֹּב,dobe,bear
H1679,דֹּ֫בֶא,do'-beh,strength
H1680,דָּבַב,daw-bab',cause to speak
H1681,דִּבָּה,dib-baw',"defaming, evil report, infamy, slander"
H1682,דְּבוֹרִים,deb-o-raw',bee
H1683,דְּבוֹרָה,deb-o-raw',Deborah
H1684,דְּבַח,deb-akh',offer (sacrifice)
H1685,דִּבְחִין,deb-akh',sacrifice
H1686,דִּבְיוֹנִים,dib-yone',dove's dung
H1687,דְּבִיר,deb-eer',oracle
H1688,דְּבִיר,deb-eer',Debir
H1689,דִּבְלָ֫תָה,dib-law',Diblath
H1690,דְּבֵלִים,deb-ay-law',cake (lump) of figs
H1691,דִּבְלָ֫יִם,dib-lah'-yim,Diblaim
H1692,דָּבַק,daw-bak',"abide fast, cleave (fast together), follow close (hard after), be joined (together), keep (fast), overtake, pursue hard, stick, take"
H1693,דְּבַק,deb-ak',cleave
H1694,דֶּ֫בֶק,deh'-bek,"joint, solder"
H1695,דָּבֵק,daw-bake',"cleave, joining, stick closer"
H1696,דָּבַר,daw-bar',"answer, appoint, bid, command, commune, declare, destroy, give, name, promise, pronounce, rehearse, say, speak, be spokesman, subdue, talk, teach, tell, think, use (entreaties), utter, X well, X work"
H1697,דָּבָר,daw-baw',"act, advice, affair, answer, X any such (thing), because of, book, business, care, case, cause, certain rate, + chronicles, commandment, X commune(-ication), + concern(-ing), + confer, counsel, + dearth, decree, deed, X disease, due, duty, effect, + eloquent, errand, (evil favoured-)ness, + glory, + harm, hurt, + iniquity, + judgment, language, + lying, manner, matter, message, (no) thing, oracle, X ought, X parts, + pertaining, + please, portion, + power, promise, provision, purpose, question, rate, reason, report, request, X (as hast) said, sake, saying, sentence, + sign, + so, some (uncleanness), somewhat to say, + song, speech, X spoken, talk, task, + that, X there done, thing (concerning), thought, + thus, tidings, what(-soever), + wherewith, which, word, work"
H1698,דָּ֫בֶר,deh'-ber,"murrain, pestilence, plague"
H1699,דֹּ֫בֶר,do'-ber,"fold, manner"
H1700,דִּבְרַת,dib-raw',"cause, end, estate, order, regard"
H1701,דִּבְרַת,dib-raw',"intent, sake"
H1702,דֹּבְרוֹת,do-ber-aw',float
H1703,דַּבְּרֹת,dab-baw-raw',word
H1704,דִּבְרִי,dib-ree',Dibri
H1705,דָּבְרַת,daw-ber-ath',"Dabareh, Daberath"
H1706,דְּבָשׁ,deb-ash',honey((-comb))
H1707,דַּבֶּ֫שֶׁת,dab-beh'-sheth,hunch (of a camel)
H1708,דַּבָּ֫שֶׁת,dab-beh'-sheth,Dabbesheth
H1709,דָּאג,dawg,fish
H1710,דָּגָה,daw-gaw',fish
H1711,דָּגָו,daw-gaw',grow
H1712,דָּגוֹן,daw-gohn',Dagon
H1713,דָּגַל,daw-gal',"(set up, with) banners, chiefest"
H1714,דֶּ֫גֶל,deh'-gel,"banner, standard"
H1715,דָּגָן,daw-gawn',"corn ((floor)), wheat"
H1716,דָּגַר,daw-gar',"gather, sit"
H1717,דַּדֵּי,dad,"breast, teat"
H1718,דָּדָה,daw-daw',"go (softly, with)"
H1719,דְּדָן,ded-awn',Dedan
H1720,דְּדָנִים,ded-aw-neem',Dedanim
H1721,דֹּדָנִים,do-daw-neem',Dodanim
H1722,דְּהַב,deh-hab',gold(- en)
H1723,דַּהֲוָא,dah-hav-aw',Dehavites
H1724,דָּהַם,daw-ham',astonished
H1725,דָּהַר,daw-har',pause
H1726,דַּהֲרוֹת,dah-hah-har',pransing
H1727,דִּיב,doob,sorrow
H1728,דַּוָּגִים,dav-vawg',fisher
H1729,דּוּגָה,doo-gaw',fish (hook)
H1730,דּוֹד,dode,"(well-)beloved, father's brother, love, uncle"
H1731,דּוּד,dood,"basket, caldron, kettle, (seething) pot"
H1732,דָּוִיד,daw-veed',David
H1733,דּוֹדַת,do-daw',"aunt, father's sister, uncle's wife"
H1734,דּוֹדוֹ,do-do',Dodo
H1735,דּוֹדָוָ֫הוּ,do-daw-vaw'-hoo,Dodavah
H1736,דּוּדָאּים,doo-dah'-ee,"basket, mandrake"
H1737,דּוֹדַי,do-dah'ee,Dodai
H1738,דָּוָה,daw-vaw',infirmity
H1739,דָּוֶה,daw-veh',"faint, menstruous cloth, she that is sick, having sickness"
H1740,דּ֫וּחַ,doo'-akh,"cast out, purge, wash"
H1741,דְּוָי,dev-ah'ee,"languishing, sorrowful"
H1742,דַּוָּי,dav-voy',faint
H1743,דּוּך,dook,beat
H1744,דּוּכִיפַת,doo-kee-fath',lapwing
H1745,דּוּמָה,doo-maw',silence
H1746,דּוּמָה,doo-maw',Dumah
H1747,דּוּמִיָּה,doo-me-yaw',"silence, silent, waiteth"
H1748,דּוּמָם,doo-mawm',"dumb, silent, quietly wait"
H1749,דּוֹנָג,do-nag',wax
H1750,דּוּץ,doots,be turned
H1751,דּוּק,dook,be broken to pieces
H1752,דּוּר,dure,dwell
H1753,דּוּר,dure,dwell
H1754,דּוּר,dure,"ball, turn, round about"
H1755,דּוֹר,dore,"age, X evermore, generation, (n-)ever, posterity"
H1756,דֹּאר,dore,Dor
H1757,דּוּרָא,doo-raw',Dura
H1758,דּוּשׁ,doosh,"break, tear, thresh, tread out (down), at grass (Jer"
H1759,דּוּשׁ,doosh,tread down
H1760,דָּחָה,daw-khaw',"chase, drive away (on), overthrow, outcast, X sore, thrust, totter"
H1761,דַּחֲוָן,dakh-av-aw',instrument of music
H1762,דֶּ֫חִי,deh-khee',falling
H1763,דְּחַל,deh-khal',"make afraid, dreadful, fear, terrible"
H1764,דֹּ֫חַן,do'-khan,millet
H1765,דָּחַף,daw-khaf',"(be) haste(-ned), pressed on"
H1766,דָּחַק,daw-khak',"thrust, vex"
H1767,דָּי,dahee,"able, according to, after (ability), among, as (oft as), (more than) enough, from, in, since, (much as is) sufficient(-ly), too much, very, when"
H1768,דִּי,dee,"X as, but, for(-asmuch +), + now, of, seeing, than, that, therefore, until, + what (-soever), when, which, whom, whose"
H1769,דִּיבוֹן,dee-bome',"Dibon, the name of three places in Palestine:--Dibon"
H1770,דִּיג,deeg,fish
H1771,דַּיָּגִים,dah-yawg',fisher
H1772,דַּיָּה,dah-yaw',vulture
H1773,דְּיוֹ,deh-yo',ink
H1774,דִּי זָהָב,dee zaw-hawb',Dizahab
H1775,דִּימוֹן,dee-mone',Dimon
H1776,דִּימוֹנָה,dee-mo-naw',Dimonah
H1777,דִּין,deen,(come) with a straight course
H1778,דִּין,deen,judge
H1779,דִּין,doon,"cause, judgement, plea, strife"
H1780,דִּין,deen,judgement
H1781,דַּיָּן,dah-yawn',judge
H1782,דַּיָּנִין,dah-yawn',judge
H1783,דִּינָה,dee-naw',Dinah
H1784,דִּינָיֵא,dee-nah'-ee,Dinaite
H1785,דָּיֵק,daw-yake',fort
H1786,דַּ֫יִשׁ,dah-yish',threshing
H1787,דִּישׁוֹן,dee-shone',Dishon
H1788,דִּישֹׁן,dee-shone',pygarg
H1789,דִּישָׁן,dee-shawn',Dishon
H1790,דָּך,dak,"afflicted, oppressed"
H1791,דֵּך,dake,"the same, this"
H1792,דָּכָא,daw-kaw',"beat to pieces, break (in pieces), bruise, contrite, crush, destroy, humble, oppress, smite"
H1793,דַּכָּא,dak-kaw',"contrite, destruction"
H1794,דָּכָה,daw-kaw',"break (sore), contrite, crouch"
H1795,דַּכָּא,dak-kaw',+ wounded
H1796,דָּכְיָם,dok-ee',wave
H1797,דִּכֵּן,dik-kane',"same, that, this"
H1798,דִּכְרִין,dek-ar',ram
H1799,דִּכְרוֹנָה,dik-rone',record
H1800,דָּל,dal,"lean, needy, poor (man), weaker"
H1801,דָּלַג,daw-lag',leap
H1802,דָּלָה,daw-law',"draw (out), X enough, lift up"
H1803,דַּלָּה,dal-law',"hair, pining sickness, poor(-est sort)"
H1804,דָּלַח,daw-lakh',trouble
H1805,דְּלִי,del-ee',bucket
H1806,דְּלָיָה,del-aw-yaw',"Dalaiah, Delaiah"
H1807,דְּלִילָה,del-ee-law',"Delilah, a Philistine woman:--Delilah"
H1808,דָּלִיּוֹת,daw-lee-yaw',branch
H1809,דָּלַל,daw-lal',"bring low, dry up, be emptied, be not equal, fail, be impoverished, be made thin"
H1810,דִּלְעָן,dil-awn',Dilean
H1811,דָּלַף,daw-laf',"drop through, melt, pour out"
H1812,דֶּ֫לֶף,deh'-lef,dropping
H1813,דַּלְפוֹן,dal-fone',Dalphon
H1814,דָּלַק,daw-lak',"burning, chase, inflame, kindle, persecute(-or), pursue hotly"
H1815,דְּלַק,del-ak',burn
H1816,דַּלֶּ֫קֶת,dal-lek'-keth,inflammation
H1817,דֶּ֫לֶת,deh'-leth,"door (two-leaved), gate, leaf, lid"
H1818,דָּם,dawm,"blood(-y, -guiltiness, (-thirsty), + innocent"
H1819,דָּמָה,daw-maw',"compare, devise, (be) like(-n), mean, think, use similitudes"
H1820,דָּמָה,daw-mam',"cease, be cut down (off), destroy, be brought to silence, be undone, X utterly"
H1821,דְּמָה,dem-aw',be like
H1822,דֻּמָּה,doom-maw',destroy
H1823,דְּמוּת,dem-ooth',"fashion, like (-ness, as), manner, similitude"
H1824,דְּמִי,dem-ee',"cutting off, rest, silence"
H1825,דִּמָּיוֹן,dim-yone',X like
H1826,דָּמַם,daw-man',"cease, be cut down (off), forbear, hold peace, quiet self, rest, be silent, keep (put to) silence, be (stand) still, tarry, wait"
H1827,דְּמָמָה,dem-aw-maw',"calm, silence, still"
H1828,דֹּ֫מֶן,do'-men,dung
H1829,דִּמְנָה,dim-naw',Dimnah
H1830,דָּמַע,daw-mah',"X sore, weep"
H1831,דֶּ֫מַע,dah'-mah,liquor
H1832,דִּמְעָה,dim-aw',tears
H1833,דְּמֶ֫שֶׁק,dem-eh'-shek,in Damascus
H1834,NONE,dam-meh'-sek,Damascus
H1835,דָּן,dawn,Dan
H1836,דְּנָה,dane,"(afore-)time, + after this manner, here (-after), one"
H1837,דַּנָּה,dan-naw',Dannah
H1838,דִּנְהָ֫בָה,din-haw-baw',Dinhaban
H1839,דָּנִי,daw-nee',"Danites, of Dan"
H1840,דָּנִיֵּאל,daw-nee-yale',Daniel
H1841,דָּנִיֵּאל,daw-nee-yale',Daniel
H1842,דָּן יַ֫עַן,dawn yah'-an,Dan-jaan
H1843,דֵּעִי,day'-ah,"knowledge, opinion"
H1844,דֵּעָה,day-aw',knowledge
H1845,דְּעוּאֵל,deh-oo-ale',Deuel
H1846,דָּעַך,daw-ak',"be extinct, consumed, put out, quenched"
H1847,דָּ֫עַת,dah'-ath,"cunning, (ig-)norantly, know(-ledge), (un-)awares (wittingly)"
H1848,דֹּ֫פִי,dof'-ee,slanderest
H1849,דָּפַק,daw-fak',"beat, knock, overdrive"
H1850,דָּפְקָה,dof-kaw',Dophkah
H1851,דָּק,dak,"dwarf, lean(-fleshed), very little thing, small, thin"
H1852,דֹּק,doke,curtain
H1853,דִּקְלָה,dik-law',Diklah
H1854,דָּקַק,daw-kak',"beat in pieces (small), bruise, make dust, (into) X powder, (be, very) small, stamp (small)"
H1855,דְּקַק,dek-ak',break to pieces
H1856,דָּקַר,daw-kar',"pierce, strike (thrust) through, wound"
H1857,דֶּ֫קֶר,deh'-ker,Dekar
H1858,דַּר,dar,X white
H1859,דָּר,dawr,generation
H1860,דֵּרָאוֹן,der-aw-one',"abhorring, contempt"
H1861,דָּרְבָן,dor-bone',goad
H1862,דַּרְדַּע,dar-dah',Darda
H1863,דַּרְדַּר,dar-dar',thistle
H1864,דָּרוֹם,daw-rome',south
H1865,דְּרוֹר,der-ore',"liberty, pure"
H1866,דְּרוֹר,der-ore',swallow
H1867,NONE,daw-reh-yaw-vaysh',Darius
H1868,NONE,daw-reh-yaw-vaysh',Darius
H1869,דָּרַך,daw-rak',"archer, bend, come, draw, go (over), guide, lead (forth), thresh, tread (down), walk"
H1870,דְּרָכַ֫יִם,deh'-rek,"along, away, because of, + by, conversation, custom, (east-)ward, journey, manner, passenger, through, toward, (high-) (path-)way(-side), whither(-soever)"
H1871,דַּרְכְּמוֹן,dar-kem-one',dram
H1872,דְּרָע,der-aw',arm
H1873,דָּ֫רַע,daw-rah',Dara
H1874,דַּרְקוֹן,dar-kone',Darkon
H1875,דָּרַשׁ,daw-rash',"ask, X at all, care for, X diligently, inquire, make inquisition, (necro-)mancer, question, require, search, seek (for, out), X surely"
H1876,דָּשָׁא,daw-shaw',"bring forth, spring"
H1877,דֶּ֫שֶׁא,deh'-sheh,"(tender) grass, green, (tender)herb"
H1878,דָּשֵׁן,daw-shane',"accept, anoint, take away the (receive) ashes (from), make (wax) fat"
H1879,דָּשֵׁן,daw-shane',fat
H1880,דָּ֫שֶׁן,deh'-shen,"ashes, fatness"
H1881,דָּת,dawth,"commandment, commission, decree, law, manner"
H1882,דָּת,dawth,"decree, law"
H1883,דִּתְאָא,deh'-thay,tender grass
H1884,דְּתָבְרַיָּא,deth-aw-bawr',counsellor
H1885,דָּתָן,daw-thawn',Dathan
H1886,דֹּתָן,do'-thawn,Dothan
H1887,הֵא,hay,"behold, lo"
H1888,הָא־,hay,"even, lo"
H1889,הֶאָח,heh-awkh',"ah, aha, ha"
H1890,הַבְהָב,hab-hawb',offering
H1891,הָבַל,haw-bal',"be (become, make) vain"
H1892,הָ֫בֶל,heh'bel,"X altogether, vain, vanity"
H1893,הָ֫בֶל,heh'-bel,Abel
H1894,הָובְנִים,ho'-ben,ebony
H1895,הָבַר,haw-bar',+ (astro-)loger
H1896,הֵגָי,hay-gay',"Hegai, Hege"
H1897,הָגָה,daw-gaw',"imagine, meditate, mourn, mutter, roar, X sore, speak, study, talk, utter"
H1898,הָגָה,haw-gaw',"stay, stay away"
H1899,הֶ֫גֶה,heh'-geh,"mourning, sound, tale"
H1900,הָגוּת,haw-gooth',meditation
H1901,הֲגִיג,haw-gheeg',"meditation, musing"
H1902,הִגָּיוֹן,hig-gaw-yone',"device, Higgaion, meditation, solemn sound"
H1903,הֲגִינָה,haw-gheen',directly
